e1	e2	e3	cumvol
2.5908E+00	2.7269E+00	2.3616E-02	4.6223470273810E-02
2.8585E+00	2.4845E+00	8.3327E-01	4.6279622962608E-02
3.4285E-02	2.3928E+00	4.2309E-01	4.6590351800694E-02
1.9195E-01	6.0050E-01	5.2468E-01	4.6619445403948E-02
3.0056E+00	4.9407E-01	4.5646E-01	4.6660949565234E-02
1.7157E-01	1.0677E+00	5.3494E-01	4.6739278497073E-02
1.5340E+00	2.3380E+00	3.9911E-01	4.6788310373886E-02
2.7679E+00	2.6131E+00	8.7485E-01	4.6936748786014E-02
2.8267E+00	2.4223E+00	4.6332E-01	4.6983440967461E-02
7.1550E-02	7.4539E-01	6.3432E-01	4.7299958008432E-02
2.7646E+00	6.8061E-01	6.1947E-01	4.7652309009831E-02
4.6424E-01	2.6487E+00	6.0345E-01	4.7851548311921E-02
2.9596E+00	2.6091E+00	3.1793E-01	4.8153939696431E-02
3.1254E+00	2.4368E+00	4.1603E-01	4.8622558298667E-02
3.0135E+00	2.0063E+00	2.8892E-01	4.8728784537346E-02
1.4621E-01	2.5614E+00	7.9830E-01	4.8967444654587E-02
1.9361E-01	6.0732E-01	5.2240E-01	4.9025021505783E-02
2.8571E+00	3.6510E-01	1.3165E-01	4.9251567087319E-02
2.1890E+00	2.4415E+00	1.4002E-01	4.9397384023378E-02
2.7896E+00	2.5536E+00	3.1273E-01	4.9981511351346E-02
1.1178E-01	4.9040E-01	9.7986E-01	5.0161253870221E-02
4.4846E-02	6.9927E-01	4.2883E-01	5.0181497321436E-02
4.4588E-01	2.4897E+00	3.5779E-01	5.0417833002194E-02
2.5770E+00	5.7676E-01	3.4845E-01	5.0900280221305E-02
2.6861E+00	8.1294E-01	1.7680E-02	5.1391875649300E-02
1.7731E-01	2.6119E+00	6.3891E-01	5.1492787727721E-02
3.1322E+00	2.4237E+00	1.6722E-01	5.1610698201609E-02
4.2834E-01	2.7890E+00	5.0226E-01	5.1809460409297E-02
1.8310E-01	7.0318E-01	4.1581E-01	5.1944193292871E-02
2.5710E+00	2.7189E+00	1.0259E+00	5.2106957761455E-02
2.8418E-02	9.0246E-01	3.3165E-01	5.2232902545780E-02
2.9171E+00	2.6276E+00	4.9812E-01	5.2335997661704E-02
2.8356E+00	2.6601E+00	8.6104E-02	5.2528288068555E-02
2.9112E+00	6.0298E-01	1.1264E-01	5.2857201425934E-02
3.9898E-01	2.4232E+00	1.3183E-01	5.2869306806309E-02
1.4576E-01	2.7678E+00	9.6719E-01	5.3506114918603E-02
7.4056E-01	2.4253E+00	5.3541E-01	5.4166179602841E-02
2.9950E+00	2.7435E+00	5.5714E-01	5.4194662850783E-02
1.4094E-01	2.5072E+00	5.1845E-01	5.4300372321963E-02
2.5995E+00	2.5723E-01	4.0860E-02	5.4760256739670E-02
2.2803E+00	5.7800E-01	6.5562E-01	5.4901921225083E-02
1.6084E-02	2.6875E+00	5.3915E-01	5.5039475984721E-02
1.5629E-01	8.6914E-01	2.2639E-01	5.5296317569478E-02
3.0058E+00	9.1654E-01	6.9525E-01	5.5476733513715E-02
5.4817E-01	2.5777E+00	4.8517E-01	5.5555265897325E-02
2.9444E+00	6.0624E-01	9.2820E-01	5.5623218788842E-02
1.6523E-01	2.8332E+00	2.4978E-02	5.5669910970288E-02
2.4026E+00	7.4196E-01	2.4689E-01	5.6039940913329E-02
2.9198E+00	7.9720E-01	7.4458E-01	5.6354520076181E-02
7.0717E-04	2.6402E+00	5.9949E-01	5.6640383038814E-02
3.4053E-01	2.6655E+00	7.7339E-01	5.6641285347418E-02
2.4166E-02	2.4691E+00	4.2436E-01	5.6741383618755E-02
2.6906E-02	5.3161E-01	5.1526E-01	5.6761118440543E-02
3.6249E-01	4.9396E-01	4.1870E-01	5.6919534127521E-02
4.1121E-03	2.7021E+00	8.2620E-01	5.7029754124465E-02
1.9895E-02	9.1145E-01	5.3585E-01	5.7029826960199E-02
3.0016E+00	5.1625E-01	1.0437E+00	5.7268688494694E-02
3.0018E+00	6.1645E-01	4.6597E-01	5.7798222591688E-02
7.6139E-02	5.6878E-01	1.4826E-01	5.7806523423945E-02
2.8047E+00	5.9859E-01	1.8969E-02	5.8068438078613E-02
2.6089E+00	8.2608E-01	6.2293E-01	5.8172020461528E-02
2.6878E+00	6.6977E-01	3.9122E-01	5.8348368387603E-02
2.6889E+00	4.7819E-01	6.0591E-01	5.8349700996703E-02
5.1750E-02	8.0147E-01	7.5793E-01	5.8437999065321E-02
2.8259E+00	6.9141E-01	4.1024E-01	5.8645065157042E-02
5.1308E-01	7.0094E-01	7.5620E-01	5.8902201746868E-02
3.1651E-01	2.4909E+00	7.3829E-01	5.8905202660490E-02
3.3423E-01	4.0760E-01	2.8960E-01	5.9129739155788E-02
2.4086E-01	4.9082E-01	9.3699E-02	5.9262149637396E-02
1.6573E-01	4.7370E-01	5.0201E-01	5.9504977464166E-02
1.8281E-01	4.2902E-01	6.8049E-01	5.9819056135661E-02
2.8807E+00	5.7765E-01	6.7928E-01	6.0034451542888E-02
3.1283E+00	7.2562E-01	5.6282E-01	6.0290523062692E-02
2.3422E+00	2.5231E+00	6.0112E-01	6.0449192047125E-02
