ID;ID;phi1A;PHIA;phi2A;minDev;myDev;eulNew0;eulNew1;eulNew2;disoriANew
ID;114;0.812519;1.22268;6.02997;0.0174533;5.93594;0;1.5708;0;0.873527
ID;115;0.745271;0.800062;5.90945;0.0174533;1.78471;0.768726;2.132;6.15726;0.467208
ID;116;0.201447;1.27902;6.25191;0.0174533;2.164;1.08666;2.62016;6.26696;0.842162
ID;117;1.11862;1.55332;5.90848;0.0174533;4.86522;0;1.5708;0;0.587979
ID;118;0.563792;1.56659;5.91008;0.0174533;3.25747;0;1.5708;0;0.67267
ID;119;0.869688;1.51804;5.9838;0.0174533;1.61933;1.5361;2.33163;0.986085;0.877732
ID;120;0.509756;0.793607;5.82543;0.0174533;4.18697;0;1.5708;0;0.795218
ID;121;0.435283;1.24377;6.1516;0.0174533;1.01013;0.797167;2.16233;6.24215;0.805806
ID;122;0.638296;1.22783;6.0686;0.0174533;2.00042;1.92155;2.65927;0.563237;0.95379
ID;123;1.18679;1.5161;6.10961;0.0174533;1.57085;1.81937;2.19672;0.927738;0.970955
ID;124;0.80156;1.23479;5.76812;0.0174533;3.54092;0;1.5708;0;0.927101
ID;125;1.11306;1.56501;5.92836;0.0174533;2.26137;2.71612;2.27149;1.09086;0.599564
ID;126;0.76171;1.57151;5.93147;0.0174533;4.4108;0;1.5708;0;0.83549
ID;127;1.2957;1.44292;6.09649;0.0174533;4.23345;0;1.5708;0;0.364804
ID;128;1.33901;1.61229;6.07383;0.0174533;3.53295;0;1.5708;0;0.311531
ID;129;0.616315;1.64544;6.00572;0.0174533;0.83084;0.606332;2.35599;5.90527;0.716795
ID;130;1.04446;1.21883;5.94978;0.0174533;0.231255;1.0261;1.30502;6.05047;0.129514
ID;131;0.440391;0.733586;5.89115;0.0174533;3.20843;0;1.5708;0;0.735106
ID;132;0.581309;0.901716;5.88461;0.0174533;0.728172;0.718703;1.28457;5.90061;0.409276
ID;133;0.887917;1.3216;5.84759;0.0174533;4.80269;0;1.5708;0;0.884042
