ID;ID;phi1;PHI;phi2;q0;q1;q2;q3;phi1;PHI;phi2;q0B;q1B;q2B;q3B;misorientationCubicEulerAB;misoriQxQAB;misoriQuatCubic0;misoriQuatCubic1;misoriQuatCubic2;misoriQuatCubic3
ID;57;0.998659;1.59232;5.81271;-0.675207;-0.530374;-0.479024;-0.182579;0.998659;1.59232;5.81271;-0.675207;-0.530374;-0.479024;-0.182579;0;0;1;1.38778e-17;1.38778e-17;0
ID;58;0.718418;1.17986;5.86481;-0.821647;-0.468831;-0.299447;-0.124198;0.718418;1.17986;5.86481;-0.821647;-0.468831;-0.299447;-0.124198;0;0;1;6.93889e-18;0;0
ID;59;1.06554;1.4043;5.86053;-0.72435;-0.475159;-0.437449;-0.241203;1.06554;1.4043;5.86053;-0.72435;-0.475159;-0.437449;-0.241203;0;0;1;1.38778e-17;0;0
ID;60;1.04707;1.61314;6.10313;-0.627968;-0.590242;-0.415671;-0.290669;1.04707;1.61314;6.10313;-0.627968;-0.590242;-0.415671;-0.290669;2.98023e-08;2.98023e-08;1;0;0;0
ID;61;0.528727;1.1401;5.84418;-0.841028;-0.47772;-0.25106;-0.0377526;0.528727;1.1401;5.84418;-0.841028;-0.47772;-0.25106;-0.0377526;0;0;1;1.04083e-17;6.93889e-18;0
ID;62;0.131932;0.957456;6.22689;-0.886947;-0.458612;-0.0432889;-0.0335598;0.131932;0.957456;6.22689;-0.886947;-0.458612;-0.0432889;-0.0335598;2.98023e-08;2.98023e-08;1;1.73472e-18;0;0
ID;63;0.698072;1.31323;6.04639;-0.77109;-0.544956;-0.275063;-0.181063;0.698072;1.31323;6.04639;-0.77109;-0.544956;-0.275063;-0.181063;0;0;1;1.17961e-16;1.38778e-17;0
ID;64;0.933622;0.621863;5.71761;-0.935974;-0.223941;-0.208454;-0.174213;0.933622;0.621863;5.71761;-0.935974;-0.223941;-0.208454;-0.174213;2.98023e-08;2.98023e-08;1;8.32667e-17;6.93889e-17;0
ID;65;1.06231;1.20139;5.89142;-0.779011;-0.422298;-0.375675;-0.27143;1.06231;1.20139;5.89142;-0.779011;-0.422298;-0.375675;-0.27143;0;0;1;6.93889e-17;4.16334e-17;2.77556e-17
ID;66;0.903944;0.824968;5.75387;-0.900103;-0.302278;-0.26332;-0.170604;0.903944;0.824968;5.75387;-0.900103;-0.302278;-0.26332;-0.170604;0;0;1;6.93889e-18;0;0
ID;67;0.767186;0.942825;5.83901;-0.879334;-0.373359;-0.258556;-0.143263;0.767186;0.942825;5.83901;-0.879334;-0.373359;-0.258556;-0.143263;0;0;1;6.245e-17;2.77556e-17;0
ID;68;0.781891;1.70115;5.86774;-0.64851;-0.620937;-0.423594;-0.120168;0.781891;1.70115;5.86774;-0.64851;-0.620937;-0.423594;-0.120168;0;0;1;4.16334e-17;4.16334e-17;6.93889e-18
ID;69;0.789992;1.08599;5.75245;-0.848982;-0.408075;-0.316949;-0.110671;0.789992;1.08599;5.75245;-0.848982;-0.408075;-0.316949;-0.110671;4.21468e-08;4.21468e-08;1;2.08167e-17;0;0
ID;70;0.539846;1.1;6.09526;-0.839361;-0.488462;-0.186027;-0.149239;0.539846;1.1;6.09526;-0.839361;-0.488462;-0.186027;-0.149239;0;0;1;1.38778e-17;0;0
ID;71;0.799468;1.518;5.90116;-0.709779;-0.571563;-0.383314;-0.150334;0.799468;1.518;5.90116;-0.709779;-0.571563;-0.383314;-0.150334;0;0;1;6.245e-17;4.16334e-17;2.77556e-17
ID;72;0.750566;1.00358;6.03107;-0.849635;-0.421806;-0.231168;-0.216247;0.750566;1.00358;6.03107;-0.849635;-0.421806;-0.231168;-0.216247;0;0;1;2.77556e-17;0;0
